Pip,Date,Meaning
the elephant in the room,2021-03-19,"görmezden gelinen, konuşmaktan kaçınılan, aşikar sorun"
look before you leap,2021-03-20,yapmadan önce iyi düşün
to hit the books,2021-03-21,ders çalışmak
draw the line,2021-03-22,bir sınır koymak/dur demek
to play second fiddle (to someone),2021-03-23,geri planda kalmak/daha aşağı düzeyde olmak
lose (one's) marbles,2021-03-24,keçileri kaçırmak/kafayı yemek
sleep on it,2021-03-25,karar yapmadan önce iyice düşünmek/sabah ola hayır ola
a short fuse,2021-03-26,çabuk sinirlenen
call a spade a spade,2021-03-27,dobra konuşmak/açıkça dile getirmek
crying wolf,2021-03-28,yalancı çoban/yalan söylemek
in the nick of time,2021-03-29,tam zamanında/son anda
cutting corners,2021-03-30,ucuza halletmek/kestirme yoldan halletmek
(be the) apple of (one's) eye,2021-04-01,gözbebeği olmak
to have sticky fingers,2021-04-02,hırsızlık yapmak/hırsız olmak
hit the sack,2021-04-03,kafayı vurup yatmak/uyumak
butter (someone) up,2021-04-04,yağ çekmek/yalakalık yapmak
to go Dutch,2021-04-05,alman usulü ödemek/hesabı paylaşmak
a dime a dozen,2021-04-06,sürüsüne bereket/çok yaygın
it takes two to tango,2021-04-07,"ortada bir sorun varsa, bundan iki taraf da sorumludur"
a rolling stone gathers no moss,2021-04-08,yuvarlanan taş yosun tutmaz
always put your best foot forward,2021-04-10,elinden gelenin en iyisini yap
barking up the wrong tree,2021-04-11,yanılgıya düşmek/yanlış kişiyi suçlamak
to make fast,2021-04-12,sağlamlaştırmak/kilitlemek
kick the bucket,2021-04-13,mevta olmak/nalları dikmek
white elephant,2021-04-14,vaktiyle işe yarayan fakat şimdi gereksiz olan bir şey
nail in the coffin,2021-04-15,son bir darbe daha/bardağı taşıran son damla
to the nines/up to the nines,2021-04-16,şık-harika görünmek/iki dirhem bir çekirdek
fan the flame,2021-04-17,yangına körükle gitmek/iyice kötüleştirmek
face the music,2021-04-19,ceremeyi çekmek/yaptığı şeyin olumsuzluklarıyla yüzleşmek
be at odds with,2021-04-20,aralarında anlaşmazlık olmak/araları açık olmak
harp on ,2021-04-21,dilinden düşürmemek/aynı şeyleri tekrar edip durmak
zero in on something,2021-04-22,bütün dikkatini bir şey üzerinde toplamak
go cold turkey,2021-04-23,bir anda bir alışkanlıktan vazgeçmek
up in arms,2021-04-25,ateş püskürmeye hazır/çok sinirli/öfkeli
stir (someone) up,2021-04-27,kışkırtmak/tahrik etmek
green with envy,2021-04-28,kıskançlıktan çatlamak
last resort,2021-04-29,son çare/son merci
hold sway,2021-05-01,egemen olmak
you can say that again,2021-05-02,doğru söze ne hacet/sana katılıyorum
across the pond,2021-05-03,atlas okyanusu'nun öteki kıyısı (US ya da UK'yi ima ediyor)
out of the blue,2021-05-04,birdenbire/aniden
caught red-handed,2021-05-05,suçüstü yakalanmak
forty winks,2021-05-06,şekerleme/kestirme/gün içinde yapılan kısa uyku
up the duff,2021-05-07,hamile
"two's company, three's a crowd",2021-05-08,üç kişilik bir gruptan birisini göndermek için söylenen söz
don't give up the day job,2021-05-09,düzenli işini bırakma/hobi olarak yine yap
ace in the hole,2021-05-10,son koz/insanın gizli silahı
leave no stone unturned,2021-05-11,her yolu denemek/çalınmadık kapı bırakmamak
a bun in the oven,2021-05-12,hamile olmak
buy the farm,2021-05-13,ölmek/nalları dikmek
part brass rags,2021-05-14,tartışmalı ayrılmak/boşanmak
keep your hair on,2021-05-15,sakin ol/kızma
spick and span,2021-05-16,tertemiz/gıcır gıcır
head over heels,2021-05-17,sırılsıklam aşık olmak/abayı yakmak
rule of thumb,2021-05-20,yaklaşık hesap/pratik iş görme usulü
the ball is in one's court,2021-05-21,sıra onda/sorumluluk onda
pitch in,2021-05-22,bir şeye katkıda bulunmak/işe girişmek
pardon my French,2021-05-23,ağzımı bozacağım ama/ayıptır söylemesi
pot calling the kettle black,2021-05-25,tencere dibin kara seninki benden kara/dinime dahleden müslüman olsa
taste of your own medicine,2021-05-26,kendi silahıyla vurmak
die on someone,2021-05-27,üstüne kalmak/birinin sorumluluğunda iken ölmek
beat around the bush,2021-05-29,lafı gevelemek/bin dereden su getirmek
eager beaver,2021-05-30,çok istekli
to give someone the cold shoulder,2021-06-01,birine soğuk davranmak/pas vermemek
zonk out,2021-06-02,bitkin düşmek/yorgunluktan uyuyakalmak
an axe to grind,2021-06-03,çözülmesi gereken sorun/şikayete sebep olan durum
icing on the cake,2021-06-05,bu da cabası
to bury the hatchet,2021-06-06,barışmak/kavgayı/savaşı bırakmak
by hook or by crook,2021-06-12,allem edip kallem etmek/ne yapıp edip
finger in every pie,2021-06-13,her işte parmağı olmak/her tarakta bezi olmak
at the drop of a hat,2021-06-14,tereddütsüz/derhal
a sitting duck,2021-06-15,savunmasız kimse/kolay hedef
jump the shark,2021-06-21,kalitesi düşen bir tv programına olan ilgiyi kaybetmemek için araya saçma sapan şeyler sokmak
vale of years,2021-06-22,hayatın son yılları/yaşlılık
swim against the tide,2021-06-23,çoğunluğa uymamak/egemen olan görüşe karşı gelmek
hit the nail on the head,2021-06-24,hedefi on ikiden vurmak/tam üstüne basmak
have a yellow streak down one's back,2021-06-26,çok korkak olmak/gölgesinden bile korkmak
sweep under the rug,2021-06-27,sümen altı etmek/örtbas etmek
come full circle,2021-06-28,dönüp dolanıp aynı yere gelmek
the chattering classes,2021-07-01,eğitimli kesim//fikir belirtmeyi seven kesim
skeleton in the closet,2021-07-02,utanç verici sır
beyond the pale,2021-07-04,kabul edilir yanı olmayan/haddini aşan
yoke around someone's neck,2021-07-06,ayak bağı/birinin sırtındaki yük
surgical strike,2021-07-07,nokta atışı/tam hedefe saldırı
with one's head in the clouds,2021-07-08,aklı bir karış havada olmak
to have designs on,2021-07-09,-de gözü olmak
bog-standard,2021-07-13,normal/sıradan
dark horse,2021-07-19,yere bakan yürek yakan/beklenmedik başarı gösteren kişi
dawn upon (somebody),2021-08-31,kafasına dank etmek
full-fledged,2021-09-01,tam teşekküllü/ehliyetli
stand your ground,2021-09-08,direnmek/geri adım atmamak/davasından vazgeçmemek
high roller,2021-09-09,parasını çokça-riskli şekilde harcayan varlıklı insan-şirket
apple pie order,2021-09-10,düzenli/derli toplu
be smitten with,2021-09-12,birdenbire vurulmak (birisine)/tutulmak
hot potato,2021-09-14,tartışmaya yol açan olay/başa çıkılması zor konu
hit the road,2021-09-15,yola çıkmak/yola koyulmak
in mint condition,2021-09-16,yepyeni/mükemmel
far-fetched,2021-09-17,zoraki/zorlama/abartılı
a sight to behold,2021-09-27,mutlaka görülmesi/gidilmesi gereken kişi/yer/olay
do a double take,2021-09-28,bir durumun anlamını sonradan kavramak/geç anlamak
where the rubber meets the road,2021-10-28,zurnanın zırt dediği yer/bir sürecin en zorlu kısmı
(have) a close call,2021-10-29,kıl payı kurtulmak/ucuz atlatmak
take name in vain,2021-10-30,biri hakkında kötü konuşmak/tanrıya saygısızlık/hakaret etmek
dead as a doornail,2021-11-02,miadını doldurmuş olmak/tarihe karışmış olmak
bump into,2021-11-03,toslamak/birine rastlamak
a fifth/third wheel,2021-11-07,dış kapının mandalı/gereksiz kimse
crab mentality,2021-11-23,ben yapamıyorsam sen de yapma zihniyeti
go down in flames,2021-12-07,güme gitmek/başarısız olmak
bee in bonnet,2021-12-08,bir konuya kafasını takmak/bir şey ile aklını bozmak
high up,2021-12-09,yüksek rütbeli kimse/önde gelen
love rat,2021-12-13,aldatan erkek
silver spoon,2022-01-05,şanslı doğmuş/varlıklı bir ailede doğmuş
treasure trove,2022-01-14,saklı hazine/çok değerli keşif
see to,2022-03-04,icabına bakmak/gereğini yapmak
